"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-02-25,"BC","Vancouver Coastal","All",135,127.14
2021-02-25,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",28,22.14
2021-02-25,"BC","Vancouver Coastal","Richmond",12,12.29
2021-02-25,"BC","Vancouver Coastal","Unknown",0,0.57
2021-02-25,"BC","Vancouver Coastal","Vancouver",95,92.14
2021-02-25,"BC","Vancouver Island","All",31,35.43
2021-02-25,"BC","Vancouver Island","Central Vancouver Island",20,22.29
2021-02-25,"BC","Vancouver Island","North Vancouver Island",11,8.57
2021-02-25,"BC","Vancouver Island","South Vancouver Island",0,4.57
2021-02-25,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-02-26,"BC","All","All",517,511
2021-02-26,"BC","Fraser","All",287,282.71
2021-02-26,"BC","Fraser","Fraser East",62,48.71
2021-02-26,"BC","Fraser","Fraser North",107,107.43
2021-02-26,"BC","Fraser","Fraser South",117,126.29
2021-02-26,"BC","Fraser","Unknown",1,0.29
2021-02-26,"BC","Interior","All",30,32
2021-02-26,"BC","Interior","East Kootenay",3,1
2021-02-26,"BC","Interior","Kootenay Boundary",1,0.86
2021-02-26,"BC","Interior","Okanagan",10,9.71
2021-02-26,"BC","Interior","Thompson Cariboo Shuswap",16,20.43
2021-02-26,"BC","Northern","All",57,38.43
2021-02-26,"BC","Northern","Northeast",10,8
2021-02-26,"BC","Northern","Northern Interior",4,6.86
2021-02-26,"BC","Northern","Northwest",43,23.57
2021-02-26,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-26,"BC","Vancouver Coastal","All",105,123.57
2021-02-26,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",25,22.43
2021-02-26,"BC","Vancouver Coastal","Richmond",21,13.43
2021-02-26,"BC","Vancouver Coastal","Unknown",0,0.57
2021-02-26,"BC","Vancouver Coastal","Vancouver",59,87.14
2021-02-26,"BC","Vancouver Island","All",38,34.29
2021-02-26,"BC","Vancouver Island","Central Vancouver Island",26,21.86
2021-02-26,"BC","Vancouver Island","North Vancouver Island",5,8
2021-02-26,"BC","Vancouver Island","South Vancouver Island",7,4.43
2021-02-26,"Out of Canada","Out of Canada","Out of Canada",2,1.14
2021-02-27,"BC","All","All",493,511.43
